effective_date,provider_slug,model_slug,pricing_type,price_per_1m_input_usd,price_per_1m_output_usd,price_per_1m_cached_input_usd,context_window,creator,provider,model,source_url,last_updated,flags
2026-06-11,anthropic,claude-opus-4-5,batch,2.5,12.5,3.125,200000,Anthropic,Anthropic,Claude Opus 4.5,https://www.anthropic.com/pricing,2026-06-11T09:02:43.135370+00:00,
2026-06-11,anthropic,claude-opus-4-5,standard,5,25,6.25,200000,Anthropic,Anthropic,Claude Opus 4.5,https://www.anthropic.com/pricing,2026-06-11T09:02:43.016972+00:00,
2026-06-11,aws,claude-opus-4-5,batch,2.75,13.75,,200000,Anthropic,Amazon AWS,Claude Opus 4.5,https://aws.amazon.com/bedrock/pricing/,2026-06-11T05:00:43.014333+00:00,
2026-06-11,aws,claude-opus-4-5,standard,5.5,27.5,,200000,Anthropic,Amazon AWS,Claude Opus 4.5,https://aws.amazon.com/bedrock/pricing/,2026-06-11T05:00:42.995167+00:00,
2026-06-11,aws,gpt-oss-120b,batch,0.07,0.3,,128000,OpenAI,Amazon AWS,GPT-OSS-120B,https://aws.amazon.com/bedrock/pricing/,2026-06-11T05:00:42.071117+00:00,
2026-06-11,aws,gpt-oss-120b,standard,0.15,0.6,,128000,OpenAI,Amazon AWS,GPT-OSS-120B,https://aws.amazon.com/bedrock/pricing/,2026-06-11T05:00:40.969922+00:00,
2026-06-11,deep-infra,gpt-oss-120b,standard,0.039,0.19,,128000,OpenAI,Deep Infra,GPT-OSS-120B,https://deepinfra.com/pricing,2026-06-11T05:00:52.336190+00:00,
2026-06-11,fireworks-ai,gpt-oss-120b,standard,0.15,0.6,,128000,OpenAI,Fireworks AI,GPT-OSS-120B,https://fireworks.ai/models?modelTypes=Serverless,2026-06-11T19:01:07.183971+00:00,
2026-06-11,groq,gpt-oss-120b,standard,0.15,0.6,,128000,OpenAI,Groq,GPT-OSS-120B,https://groq.com/pricing,2026-06-11T23:01:09.475527+00:00,
2026-06-11,ionet,gpt-oss-120b,standard,0.176,0.652,0.088,128000,OpenAI,IO.NET,GPT-OSS-120B,https://io.net/intelligence,2026-06-11T05:00:25.490140+00:00,
2026-06-11,openrouter,claude-opus-4-5,standard,5,25,0.5,200000,Anthropic,OpenRouter,Claude Opus 4.5,https://openrouter.ai/pricing,2026-06-11T05:00:51.986392+00:00,
2026-06-11,openrouter,gpt-oss-120b,standard,0.039,0.18,,128000,OpenAI,OpenRouter,GPT-OSS-120B,https://openrouter.ai/pricing,2026-06-11T05:00:53.064950+00:00,
2026-06-11,scaleway,gpt-oss-120b,standard,0.1731,0.6923,,128000,OpenAI,Scaleway,GPT-OSS-120B,https://www.scaleway.com/en/pricing/model-as-a-service/,2026-06-11T07:01:38.977297+00:00,
2026-06-11,together-ai,gpt-oss-120b,standard,0.15,0.6,,128000,OpenAI,Together AI,GPT-OSS-120B,https://www.together.ai/pricing,2026-06-11T05:01:14.286728+00:00,
2026-06-12,aws,claude-opus-4-5,batch,2.75,13.75,,200000,Anthropic,Amazon AWS,Claude Opus 4.5,https://aws.amazon.com/bedrock/pricing/,2026-06-12T05:00:42.250924+00:00,
2026-06-12,aws,claude-opus-4-5,standard,5.5,27.5,,200000,Anthropic,Amazon AWS,Claude Opus 4.5,https://aws.amazon.com/bedrock/pricing/,2026-06-12T05:00:42.231044+00:00,
2026-06-12,aws,gpt-oss-120b,batch,0.07,0.3,,128000,OpenAI,Amazon AWS,GPT-OSS-120B,https://aws.amazon.com/bedrock/pricing/,2026-06-12T05:00:41.529081+00:00,
2026-06-12,aws,gpt-oss-120b,standard,0.15,0.6,,128000,OpenAI,Amazon AWS,GPT-OSS-120B,https://aws.amazon.com/bedrock/pricing/,2026-06-12T05:00:40.749732+00:00,
2026-06-12,deep-infra,gpt-oss-120b,standard,0.039,0.19,,128000,OpenAI,Deep Infra,GPT-OSS-120B,https://deepinfra.com/pricing,2026-06-12T05:00:51.521100+00:00,
2026-06-12,fireworks-ai,gpt-oss-120b,standard,0.15,0.6,,128000,OpenAI,Fireworks AI,GPT-OSS-120B,https://fireworks.ai/models?modelTypes=Serverless,2026-06-12T19:00:51.450190+00:00,
2026-06-12,groq,gpt-oss-120b,standard,0.15,0.6,,128000,OpenAI,Groq,GPT-OSS-120B,https://groq.com/pricing,2026-06-12T23:01:01.287383+00:00,
2026-06-12,hyperstack,gpt-oss-120b,standard,0.1,0.4,,128000,OpenAI,Hyperstack,GPT-OSS-120B,https://www.hyperstack.cloud/ai-studio,2026-06-12T01:01:18.680310+00:00,
2026-06-12,ionet,gpt-oss-120b,standard,0.178,0.68,0.089,128000,OpenAI,IO.NET,GPT-OSS-120B,https://io.net/intelligence,2026-06-12T05:00:24.957815+00:00,
2026-06-12,openrouter,claude-opus-4-5,standard,5,25,0.5,200000,Anthropic,OpenRouter,Claude Opus 4.5,https://openrouter.ai/pricing,2026-06-12T05:00:49.264097+00:00,
2026-06-12,openrouter,gpt-oss-120b,standard,0.039,0.18,,128000,OpenAI,OpenRouter,GPT-OSS-120B,https://openrouter.ai/pricing,2026-06-12T05:00:50.327338+00:00,
2026-06-12,scaleway,gpt-oss-120b,standard,0.1731,0.6922,,128000,OpenAI,Scaleway,GPT-OSS-120B,https://www.scaleway.com/en/pricing/model-as-a-service/,2026-06-12T09:01:34.640328+00:00,
2026-06-12,together-ai,gpt-oss-120b,standard,0.15,0.6,,128000,OpenAI,Together AI,GPT-OSS-120B,https://www.together.ai/pricing,2026-06-12T05:00:17.123970+00:00,
2026-06-13,anthropic,claude-opus-4-5,batch,2.5,12.5,,200000,Anthropic,Anthropic,Claude Opus 4.5,https://www.anthropic.com/pricing,2026-06-13T19:02:43.573473+00:00,
2026-06-13,anthropic,claude-opus-4-5,standard,5,25,,200000,Anthropic,Anthropic,Claude Opus 4.5,https://www.anthropic.com/pricing,2026-06-13T19:02:43.534944+00:00,
2026-06-13,aws,claude-opus-4-5,batch,2.75,13.75,,200000,Anthropic,Amazon AWS,Claude Opus 4.5,https://aws.amazon.com/bedrock/pricing/,2026-06-13T05:00:30.682039+00:00,
2026-06-13,aws,claude-opus-4-5,standard,5.5,27.5,,200000,Anthropic,Amazon AWS,Claude Opus 4.5,https://aws.amazon.com/bedrock/pricing/,2026-06-13T05:00:30.650536+00:00,
2026-06-13,aws,gpt-oss-120b,batch,0.07,0.3,,128000,OpenAI,Amazon AWS,GPT-OSS-120B,https://aws.amazon.com/bedrock/pricing/,2026-06-13T05:00:29.941451+00:00,
2026-06-13,aws,gpt-oss-120b,standard,0.15,0.6,,128000,OpenAI,Amazon AWS,GPT-OSS-120B,https://aws.amazon.com/bedrock/pricing/,2026-06-13T05:00:29.015450+00:00,
2026-06-13,deep-infra,gpt-oss-120b,standard,0.039,0.19,,128000,OpenAI,Deep Infra,GPT-OSS-120B,https://deepinfra.com/pricing,2026-06-13T05:00:34.933963+00:00,
2026-06-13,hyperstack,gpt-oss-120b,standard,0.1,0.4,,128000,OpenAI,Hyperstack,GPT-OSS-120B,https://www.hyperstack.cloud/ai-studio,2026-06-13T01:01:10.346515+00:00,
2026-06-13,ionet,gpt-oss-120b,standard,0.178,0.68,0.089,128000,OpenAI,IO.NET,GPT-OSS-120B,https://io.net/intelligence,2026-06-13T05:00:24.036074+00:00,
2026-06-13,openrouter,claude-opus-4-5,standard,5,25,0.5,200000,Anthropic,OpenRouter,Claude Opus 4.5,https://openrouter.ai/pricing,2026-06-13T05:01:42.091243+00:00,
2026-06-13,openrouter,gpt-oss-120b,standard,0.039,0.18,,128000,OpenAI,OpenRouter,GPT-OSS-120B,https://openrouter.ai/pricing,2026-06-13T05:01:43.330790+00:00,
2026-06-13,scaleway,gpt-oss-120b,standard,0.1735,0.694,,128000,OpenAI,Scaleway,GPT-OSS-120B,https://www.scaleway.com/en/pricing/model-as-a-service/,2026-06-13T11:01:38.656186+00:00,
2026-06-13,together-ai,gpt-oss-120b,standard,0.15,0.6,,128000,OpenAI,Together AI,GPT-OSS-120B,https://www.together.ai/pricing,2026-06-13T05:00:28.436183+00:00,
2026-06-14,anthropic,claude-opus-4-5,standard,5,25,0.5,200000,Anthropic,Anthropic,Claude Opus 4.5,https://www.anthropic.com/pricing,2026-06-14T23:02:21.434716+00:00,
2026-06-14,aws,claude-opus-4-5,batch,2.75,13.75,,200000,Anthropic,Amazon AWS,Claude Opus 4.5,https://aws.amazon.com/bedrock/pricing/,2026-06-14T05:00:31.854166+00:00,
2026-06-14,aws,claude-opus-4-5,standard,5.5,27.5,,200000,Anthropic,Amazon AWS,Claude Opus 4.5,https://aws.amazon.com/bedrock/pricing/,2026-06-14T05:00:31.834410+00:00,
2026-06-14,aws,gpt-oss-120b,batch,0.07,0.3,,128000,OpenAI,Amazon AWS,GPT-OSS-120B,https://aws.amazon.com/bedrock/pricing/,2026-06-14T05:00:31.092742+00:00,
2026-06-14,aws,gpt-oss-120b,standard,0.15,0.6,,128000,OpenAI,Amazon AWS,GPT-OSS-120B,https://aws.amazon.com/bedrock/pricing/,2026-06-14T05:00:28.804399+00:00,
2026-06-14,deep-infra,gpt-oss-120b,standard,0.15,0.6,,128000,OpenAI,Deep Infra,GPT-OSS-120B,https://deepinfra.com/pricing,2026-06-14T05:00:36.990464+00:00,
2026-06-14,fireworks-ai,gpt-oss-120b,standard,0.15,0.6,,128000,OpenAI,Fireworks AI,GPT-OSS-120B,https://fireworks.ai/models?modelTypes=Serverless,2026-06-14T05:01:30.704826+00:00,
2026-06-14,groq,gpt-oss-120b,standard,0.15,0.6,,128000,OpenAI,Groq,GPT-OSS-120B,https://groq.com/pricing,2026-06-14T09:01:05.815762+00:00,
2026-06-14,hyperstack,gpt-oss-120b,standard,0.1,0.4,,128000,OpenAI,Hyperstack,GPT-OSS-120B,https://www.hyperstack.cloud/ai-studio,2026-06-14T11:00:59.670064+00:00,
2026-06-14,ionet,gpt-oss-120b,standard,0.178,0.68,0.089,128000,OpenAI,IO.NET,GPT-OSS-120B,https://io.net/intelligence,2026-06-14T05:00:23.858515+00:00,
2026-06-14,openrouter,claude-opus-4-5,standard,5,25,0.5,200000,Anthropic,OpenRouter,Claude Opus 4.5,https://openrouter.ai/pricing,2026-06-14T05:00:54.368074+00:00,
2026-06-14,openrouter,gpt-oss-120b,standard,0.039,0.18,,128000,OpenAI,OpenRouter,GPT-OSS-120B,https://openrouter.ai/pricing,2026-06-14T05:00:57.652944+00:00,
2026-06-14,together-ai,gpt-oss-120b,standard,0.15,0.6,,128000,OpenAI,Together AI,GPT-OSS-120B,https://www.together.ai/pricing,2026-06-14T05:01:23.735628+00:00,
2026-06-15,anthropic,claude-opus-4-5,batch,5,25,,200000,Anthropic,Anthropic,Claude Opus 4.5,https://www.anthropic.com/pricing,2026-06-15T01:02:17.358691+00:00,
2026-06-15,aws,claude-opus-4-5,batch,2.75,13.75,,200000,Anthropic,Amazon AWS,Claude Opus 4.5,https://aws.amazon.com/bedrock/pricing/,2026-06-15T05:00:30.662605+00:00,
2026-06-15,aws,claude-opus-4-5,standard,5.5,27.5,,200000,Anthropic,Amazon AWS,Claude Opus 4.5,https://aws.amazon.com/bedrock/pricing/,2026-06-15T05:00:30.642259+00:00,
2026-06-15,aws,gpt-oss-120b,batch,0.07,0.3,,128000,OpenAI,Amazon AWS,GPT-OSS-120B,https://aws.amazon.com/bedrock/pricing/,2026-06-15T05:00:29.896757+00:00,
2026-06-15,aws,gpt-oss-120b,standard,0.15,0.6,,128000,OpenAI,Amazon AWS,GPT-OSS-120B,https://aws.amazon.com/bedrock/pricing/,2026-06-15T05:00:29.089102+00:00,
2026-06-15,deep-infra,gpt-oss-120b,standard,0.15,0.6,,128000,OpenAI,Deep Infra,GPT-OSS-120B,https://deepinfra.com/pricing,2026-06-15T05:00:34.701898+00:00,
2026-06-15,fireworks-ai,gpt-oss-120b,standard,0.15,0.6,,128000,OpenAI,Fireworks AI,GPT-OSS-120B,https://fireworks.ai/models?modelTypes=Serverless,2026-06-15T11:01:25.043115+00:00,
2026-06-15,groq,gpt-oss-120b,standard,0.15,0.6,,128000,OpenAI,Groq,GPT-OSS-120B,https://groq.com/pricing,2026-06-15T15:01:07.299907+00:00,
2026-06-15,hyperstack,gpt-oss-120b,standard,0.1,0.4,,128000,OpenAI,Hyperstack,GPT-OSS-120B,https://www.hyperstack.cloud/ai-studio,2026-06-15T17:01:05.677198+00:00,
2026-06-15,ionet,gpt-oss-120b,standard,0.178,0.68,0.089,128000,OpenAI,IO.NET,GPT-OSS-120B,https://io.net/intelligence,2026-06-15T05:00:24.356661+00:00,
2026-06-15,openrouter,claude-opus-4-5,standard,5,25,0.5,200000,Anthropic,OpenRouter,Claude Opus 4.5,https://openrouter.ai/pricing,2026-06-15T05:00:51.233561+00:00,
2026-06-15,openrouter,gpt-oss-120b,standard,0.039,0.18,,128000,OpenAI,OpenRouter,GPT-OSS-120B,https://openrouter.ai/pricing,2026-06-15T05:00:52.520979+00:00,
2026-06-15,together-ai,gpt-oss-120b,standard,0.15,0.6,,128000,OpenAI,Together AI,GPT-OSS-120B,https://www.together.ai/pricing,2026-06-15T05:00:28.821795+00:00,
2026-06-16,aws,claude-opus-4-5,batch,2.75,13.75,,200000,Anthropic,Amazon AWS,Claude Opus 4.5,https://aws.amazon.com/bedrock/pricing/,2026-06-16T05:00:29.611126+00:00,
2026-06-16,aws,claude-opus-4-5,standard,5.5,27.5,,200000,Anthropic,Amazon AWS,Claude Opus 4.5,https://aws.amazon.com/bedrock/pricing/,2026-06-16T05:00:29.589298+00:00,
2026-06-16,aws,gpt-oss-120b,batch,0.07,0.3,,128000,OpenAI,Amazon AWS,GPT-OSS-120B,https://aws.amazon.com/bedrock/pricing/,2026-06-16T05:00:28.858721+00:00,
2026-06-16,aws,gpt-oss-120b,standard,0.15,0.6,,128000,OpenAI,Amazon AWS,GPT-OSS-120B,https://aws.amazon.com/bedrock/pricing/,2026-06-16T05:00:27.946583+00:00,
2026-06-16,deep-infra,gpt-oss-120b,standard,0.15,0.6,,128000,OpenAI,Deep Infra,GPT-OSS-120B,https://deepinfra.com/pricing,2026-06-16T05:00:36.523376+00:00,
2026-06-16,fireworks-ai,gpt-oss-120b,standard,0.15,0.6,,128000,OpenAI,Fireworks AI,GPT-OSS-120B,https://fireworks.ai/models?modelTypes=Serverless,2026-06-16T13:00:59.455995+00:00,
2026-06-16,groq,gpt-oss-120b,standard,0.15,0.6,,128000,OpenAI,Groq,GPT-OSS-120B,https://groq.com/pricing,2026-06-16T17:00:58.824033+00:00,
2026-06-16,hyperstack,gpt-oss-120b,standard,0.1,0.4,,128000,OpenAI,Hyperstack,GPT-OSS-120B,https://www.hyperstack.cloud/ai-studio,2026-06-16T19:01:01.291033+00:00,
2026-06-16,ionet,gpt-oss-120b,standard,0.178,0.68,0.089,128000,OpenAI,IO.NET,GPT-OSS-120B,https://io.net/intelligence,2026-06-16T05:01:25.464259+00:00,
2026-06-16,openrouter,claude-opus-4-5,standard,5,25,0.5,200000,Anthropic,OpenRouter,Claude Opus 4.5,https://openrouter.ai/pricing,2026-06-16T05:00:09.021659+00:00,
2026-06-16,openrouter,gpt-oss-120b,standard,0.039,0.18,,128000,OpenAI,OpenRouter,GPT-OSS-120B,https://openrouter.ai/pricing,2026-06-16T05:00:10.239693+00:00,
2026-06-16,scaleway,gpt-oss-120b,standard,0.1741,0.6964,,128000,OpenAI,Scaleway,GPT-OSS-120B,https://www.scaleway.com/en/pricing/model-as-a-service/,2026-06-16T03:01:35.431481+00:00,
2026-06-16,together-ai,gpt-oss-120b,standard,0.15,0.6,,128000,OpenAI,Together AI,GPT-OSS-120B,https://www.together.ai/pricing,2026-06-16T05:00:40.458096+00:00,
2026-06-21,anthropic,claude-opus-4-5,standard,5,25,,200000,Anthropic,Anthropic,Claude Opus 4.5,https://www.anthropic.com/pricing,2026-06-21T03:02:19.567608+00:00,
2026-06-23,scaleway,gpt-oss-120b,standard,0.1718,0.6874,,128000,OpenAI,Scaleway,GPT-OSS-120B,https://www.scaleway.com/en/pricing/model-as-a-service/,2026-06-23T07:02:26.971331+00:00,
2026-06-24,anthropic,claude-opus-4-5,batch,5,25,0.5,200000,Anthropic,Anthropic,Claude Opus 4.5,https://www.anthropic.com/pricing,2026-06-24T13:02:48.514831+00:00,
2026-06-24,fireworks-ai,gpt-oss-120b,standard,0.15,0.6,,128000,OpenAI,Fireworks AI,GPT-OSS-120B,https://fireworks.ai/models?modelTypes=Serverless,2026-06-24T23:00:51.788821+00:00,
2026-06-25,anthropic,claude-opus-4-5,batch,5,25,6.25,200000,Anthropic,Anthropic,Claude Opus 4.5,https://www.anthropic.com/pricing,2026-06-25T17:01:09.328936+00:00,
2026-06-25,aws,claude-opus-4-5,batch,2.75,13.75,,200000,Anthropic,Amazon AWS,Claude Opus 4.5,https://aws.amazon.com/bedrock/pricing/,2026-06-25T05:01:47.962246+00:00,
2026-06-25,aws,claude-opus-4-5,standard,5.5,27.5,,200000,Anthropic,Amazon AWS,Claude Opus 4.5,https://aws.amazon.com/bedrock/pricing/,2026-06-25T05:01:47.942451+00:00,
2026-06-25,aws,gpt-oss-120b,batch,0.07,0.3,,128000,OpenAI,Amazon AWS,GPT-OSS-120B,https://aws.amazon.com/bedrock/pricing/,2026-06-25T05:01:47.275461+00:00,
2026-06-25,aws,gpt-oss-120b,standard,0.15,0.6,,128000,OpenAI,Amazon AWS,GPT-OSS-120B,https://aws.amazon.com/bedrock/pricing/,2026-06-25T05:01:46.460072+00:00,
2026-06-25,deep-infra,gpt-oss-120b,standard,0.15,0.6,,128000,OpenAI,Deep Infra,GPT-OSS-120B,https://deepinfra.com/pricing,2026-06-25T05:00:19.913999+00:00,
2026-06-25,groq,gpt-oss-120b,standard,0.15,0.6,,128000,OpenAI,Groq,GPT-OSS-120B,https://groq.com/pricing,2026-06-25T03:00:39.437196+00:00,
2026-06-25,hyperstack,gpt-oss-120b,standard,0.1,0.4,,128000,OpenAI,Hyperstack,GPT-OSS-120B,https://www.hyperstack.cloud/ai-studio,2026-06-25T05:00:11.618451+00:00,
2026-06-25,ionet,gpt-oss-120b,standard,0.168,0.562,0.084,128000,OpenAI,IO.NET,GPT-OSS-120B,https://io.net/intelligence,2026-06-25T05:00:32.051413+00:00,
2026-06-25,openrouter,claude-opus-4-5,standard,5,25,0.5,200000,Anthropic,OpenRouter,Claude Opus 4.5,https://openrouter.ai/pricing,2026-06-25T05:00:06.720120+00:00,
2026-06-25,openrouter,gpt-oss-120b,standard,0.039,0.18,,128000,OpenAI,OpenRouter,GPT-OSS-120B,https://openrouter.ai/pricing,2026-06-25T05:00:07.906416+00:00,
2026-06-25,together-ai,gpt-oss-120b,standard,0.15,0.6,,128000,OpenAI,Together AI,GPT-OSS-120B,https://www.together.ai/pricing,2026-06-25T05:01:13.587507+00:00,
2026-06-26,scaleway,gpt-oss-120b,standard,0.171,0.6841,,128000,OpenAI,Scaleway,GPT-OSS-120B,https://www.scaleway.com/en/pricing/model-as-a-service/,2026-06-26T19:00:41.062190+00:00,
2026-06-27,groq,gpt-oss-120b,standard,0.15,0.6,,128000,OpenAI,Groq,GPT-OSS-120B,https://groq.com/pricing,2026-06-27T09:00:15.354682+00:00,
2026-06-27,hyperstack,gpt-oss-120b,standard,0.1,0.4,,128000,OpenAI,Hyperstack,GPT-OSS-120B,https://www.hyperstack.cloud/ai-studio,2026-06-27T11:00:10.810274+00:00,
2026-06-28,aws,claude-opus-4-5,batch,2.75,13.75,,200000,Anthropic,Amazon AWS,Claude Opus 4.5,https://aws.amazon.com/bedrock/pricing/,2026-06-28T05:00:18.666078+00:00,
2026-06-28,aws,claude-opus-4-5,standard,5.5,27.5,,200000,Anthropic,Amazon AWS,Claude Opus 4.5,https://aws.amazon.com/bedrock/pricing/,2026-06-28T05:00:18.647569+00:00,
2026-06-28,aws,gpt-oss-120b,batch,0.07,0.3,,128000,OpenAI,Amazon AWS,GPT-OSS-120B,https://aws.amazon.com/bedrock/pricing/,2026-06-28T05:00:17.819183+00:00,
2026-06-28,aws,gpt-oss-120b,standard,0.15,0.6,,128000,OpenAI,Amazon AWS,GPT-OSS-120B,https://aws.amazon.com/bedrock/pricing/,2026-06-28T05:00:16.915095+00:00,
2026-06-28,deep-infra,gpt-oss-120b,standard,0.15,0.6,,128000,OpenAI,Deep Infra,GPT-OSS-120B,https://deepinfra.com/pricing,2026-06-28T05:01:44.797290+00:00,
2026-06-28,fireworks-ai,gpt-oss-120b,standard,0.15,0.6,,128000,OpenAI,Fireworks AI,GPT-OSS-120B,https://fireworks.ai/models?modelTypes=Serverless,2026-06-28T07:01:26.802084+00:00,
2026-06-28,ionet,gpt-oss-120b,standard,0.168,0.562,0.084,128000,OpenAI,IO.NET,GPT-OSS-120B,https://io.net/intelligence,2026-06-28T05:00:19.339792+00:00,
2026-06-28,openrouter,claude-opus-4-5,standard,5,25,0.5,200000,Anthropic,OpenRouter,Claude Opus 4.5,https://openrouter.ai/pricing,2026-06-28T05:00:03.797877+00:00,
2026-06-28,openrouter,gpt-oss-120b,standard,0.03,0.15,,128000,OpenAI,OpenRouter,GPT-OSS-120B,https://openrouter.ai/pricing,2026-06-28T05:00:05.011818+00:00,
2026-06-28,together-ai,gpt-oss-120b,standard,0.15,0.6,,128000,OpenAI,Together AI,GPT-OSS-120B,https://www.together.ai/pricing,2026-06-28T05:00:40.104388+00:00,
2026-07-01,anthropic,claude-opus-4-5,batch,2.5,12.5,3.125,200000,Anthropic,Anthropic,Claude Opus 4.5,https://www.anthropic.com/pricing,2026-07-01T11:01:38.426484+00:00,
2026-07-01,anthropic,claude-opus-4-5,standard,5,25,6.25,200000,Anthropic,Anthropic,Claude Opus 4.5,https://www.anthropic.com/pricing,2026-07-01T11:01:38.399612+00:00,
2026-07-03,groq,gpt-oss-120b,standard,0.15,0.6,,128000,OpenAI,Groq,GPT-OSS-120B,https://groq.com/pricing,2026-07-03T03:00:59.778641+00:00,
2026-07-03,scaleway,gpt-oss-120b,standard,0.1717,0.6869,,128000,OpenAI,Scaleway,GPT-OSS-120B,https://www.scaleway.com/en/pricing/model-as-a-service/,2026-07-03T15:01:27.795907+00:00,
2026-07-04,aws,claude-opus-4-5,batch,2.75,13.75,,200000,Anthropic,Amazon AWS,Claude Opus 4.5,https://aws.amazon.com/bedrock/pricing/,2026-07-04T05:00:18.503531+00:00,
2026-07-04,aws,claude-opus-4-5,standard,5.5,27.5,,200000,Anthropic,Amazon AWS,Claude Opus 4.5,https://aws.amazon.com/bedrock/pricing/,2026-07-04T05:00:18.487577+00:00,
2026-07-04,aws,gpt-oss-120b,batch,0.07,0.3,,128000,OpenAI,Amazon AWS,GPT-OSS-120B,https://aws.amazon.com/bedrock/pricing/,2026-07-04T05:00:17.721553+00:00,
2026-07-04,aws,gpt-oss-120b,standard,0.15,0.6,,128000,OpenAI,Amazon AWS,GPT-OSS-120B,https://aws.amazon.com/bedrock/pricing/,2026-07-04T05:00:16.861884+00:00,
2026-07-04,deep-infra,gpt-oss-120b,standard,0.039,0.17,,128000,OpenAI,Deep Infra,GPT-OSS-120B,https://deepinfra.com/pricing,2026-07-04T05:00:51.445457+00:00,
2026-07-04,fireworks-ai,gpt-oss-120b,standard,0.15,0.6,,128000,OpenAI,Fireworks AI,GPT-OSS-120B,https://fireworks.ai/models?modelTypes=Serverless,2026-07-04T01:01:27.022064+00:00,
2026-07-04,hyperstack,gpt-oss-120b,standard,0.1,0.4,,128000,OpenAI,Hyperstack,GPT-OSS-120B,https://www.hyperstack.cloud/ai-studio,2026-07-04T07:01:09.350449+00:00,
2026-07-04,ionet,gpt-oss-120b,standard,0.178,0.68,0.089,128000,OpenAI,IO.NET,GPT-OSS-120B,https://io.net/intelligence,2026-07-04T05:00:19.181319+00:00,
2026-07-04,openrouter,claude-opus-4-5,standard,5,25,0.5,200000,Anthropic,OpenRouter,Claude Opus 4.5,https://openrouter.ai/pricing,2026-07-04T05:00:03.824892+00:00,
2026-07-04,openrouter,gpt-oss-120b,standard,0.03,0.15,,128000,OpenAI,OpenRouter,GPT-OSS-120B,https://openrouter.ai/pricing,2026-07-04T05:00:05.072498+00:00,
2026-07-04,together-ai,gpt-oss-120b,standard,0.15,0.6,,128000,OpenAI,Together AI,GPT-OSS-120B,https://www.together.ai/pricing,2026-07-04T05:00:40.008088+00:00,
